employee_id,request_date,leave_type,approval_status,absence_code
307,10/18/2023,Vacation,Approved,Vacation
345,10/12/2023,Personal,Approved,Personal
388,10/21/2023,Vacation,Approved,Vacation
400,10/6/2023,Personal,Approved,Personal
401,10/7/2023,Parental,Approved,Parental
411,10/17/2023,Parental,Denied,None
420,10/27/2023,Parental,Approved,Parental
451,10/29/2023,Personal,Approved,Personal
483,10/13/2023,Parental,Approved,Parental
489,10/10/2023,Parental,Approved,Parental
497,10/23/2023,Parental,Approved,Parental
575,10/6/2023,Vacation,Approved,Vacation
576,10/17/2023,Parental,Approved,Parental
577,10/19/2023,Vacation,Approved,Vacation
2,11/14/2023,Vacation,Approved,Vacation
7,11/3/2023,Vacation,Approved,Vacation
33,11/18/2023,Vacation,Approved,Vacation
79,11/12/2023,Sick,Approved,Sick
134,11/29/2023,Personal,Approved,Personal
149,11/27/2023,Sick,Pending,None
151,11/12/2023,Sick,Approved,Sick
170,11/24/2023,Parental,Approved,Parental
256,11/23/2023,Sick,Approved,Sick
284,11/12/2023,Parental,Approved,Parental
318,11/29/2023,Sick,Pending,None
348,11/7/2023,Sick,Approved,Sick
408,11/9/2023,Vacation,Approved,Vacation
448,11/25/2023,Personal,Approved,Personal
462,11/16/2023,Vacation,Approved,Vacation
469,11/11/2023,Parental,Approved,Parental
478,11/27/2023,Personal,Approved,Personal
494,11/23/2023,Personal,Pending,None
533,11/14/2023,Vacation,Approved,Vacation
546,11/25/2023,Parental,Approved,Parental
579,11/10/2023,Parental,Approved,Parental
18,12/25/2023,Vacation,Approved,Vacation
61,12/8/2023,Parental,Approved,Parental
147,12/11/2023,Vacation,Approved,Vacation
188,12/11/2023,Sick,Approved,Sick
295,12/10/2023,Sick,Approved,Sick
297,12/30/2023,Personal,Approved,Personal
339,12/29/2023,Parental,Approved,Parental
398,12/20/2023,Sick,Pending,None
401,12/19/2023,Vacation,Approved,Vacation
411,12/28/2023,Sick,Approved,Sick
416,12/13/2023,Personal,Approved,Personal
428,12/18/2023,Parental,Approved,Parental
453,12/7/2023,Sick,Approved,Sick
471,12/22/2023,Sick,Approved,Sick
492,12/13/2023,Parental,Approved,Parental
493,12/9/2023,Sick,Approved,Sick
500,12/31/2023,Vacation,Approved,Vacation
524,12/25/2023,Sick,Approved,Sick
544,12/26/2023,Parental,Approved,Parental
589,12/28/2023,Sick,Approved,Sick
10,1/31/2024,Vacation,Approved,Vacation
91,1/18/2024,Personal,Approved,Personal
111,1/31/2024,Sick,Denied,None
119,1/14/2024,Personal,Approved,Personal
140,1/29/2024,Vacation,Approved,Vacation
195,1/17/2024,Personal,Approved,Personal
205,1/21/2024,Personal,Approved,Personal
207,1/18/2024,Vacation,Approved,Vacation
318,1/13/2024,Parental,Approved,Parental
336,1/23/2024,Parental,Denied,None
371,1/22/2024,Sick,Approved,Sick
372,1/10/2024,Personal,Approved,Personal
382,1/15/2024,Sick,Approved,Sick
400,1/6/2024,Parental,Pending,None
415,1/8/2024,Sick,Approved,Sick
417,1/18/2024,Sick,Approved,Sick
444,1/19/2024,Sick,Approved,Sick
454,1/17/2024,Vacation,Approved,Vacation
539,1/29/2024,Vacation,Approved,Vacation
555,1/19/2024,Vacation,Approved,Vacation
590,1/4/2024,Sick,Approved,Sick
16,2/24/2024,Vacation,Pending,None
37,2/25/2024,Parental,Approved,Parental
133,2/6/2024,Parental,Approved,Parental
207,2/19/2024,Sick,Approved,Sick
230,2/21/2024,Personal,Approved,Personal
235,2/3/2024,Personal,Approved,Personal
343,2/7/2024,Parental,Approved,Parental
419,2/6/2024,Personal,Approved,Personal
428,2/19/2024,Personal,Approved,Personal
438,2/13/2024,Personal,Approved,Personal
471,2/25/2024,Sick,Pending,None
486,2/22/2024,Vacation,Approved,Vacation
525,2/28/2024,Personal,Approved,Personal
534,2/11/2024,Parental,Approved,Parental
536,2/14/2024,Sick,Approved,Sick
547,2/12/2024,Sick,Approved,Sick
575,2/10/2024,Parental,Approved,Parental
577,2/6/2024,Personal,Approved,Personal
594,2/6/2024,Parental,Approved,Parental
18,3/16/2024,Parental,Approved,Parental
34,3/19/2024,Parental,Approved,Parental
150,3/17/2024,Parental,Approved,Parental
151,3/26/2024,Personal,Denied,None
193,3/5/2024,Parental,Approved,Parental
221,3/30/2024,Parental,Approved,Parental
277,3/11/2024,Sick,Approved,Sick
330,3/27/2024,Sick,Approved,Sick
336,3/28/2024,Personal,Approved,Personal
344,3/19/2024,Sick,Pending,None
365,3/5/2024,Sick,Approved,Sick
371,3/6/2024,Personal,Approved,Personal
427,3/6/2024,Vacation,Pending,None
431,3/14/2024,Sick,Approved,Sick
432,3/24/2024,Vacation,Approved,Vacation
452,3/20/2024,Vacation,Approved,Vacation
467,3/27/2024,Personal,Approved,Personal
476,3/23/2024,Personal,Pending,None
493,3/18/2024,Parental,Approved,Parental
504,3/31/2024,Sick,Pending,None
515,3/8/2024,Vacation,Approved,Vacation
541,3/17/2024,Personal,Approved,Personal
557,3/29/2024,Sick,Approved,Sick
603,3/8/2024,Vacation,Approved,Vacation
610,3/19/2024,Sick,Approved,Sick
28,4/28/2024,Vacation,Approved,Vacation
45,4/10/2024,Sick,Pending,None
65,4/23/2024,Sick,Approved,Sick
109,4/18/2024,Vacation,Approved,Vacation
119,4/22/2024,Sick,Approved,Sick
120,4/23/2024,Parental,Pending,None
148,4/29/2024,Sick,Approved,Sick
182,4/30/2024,Parental,Approved,Parental
213,4/11/2024,Parental,Approved,Parental
216,4/24/2024,Personal,Pending,None
253,4/18/2024,Sick,Approved,Sick
302,4/23/2024,Parental,Approved,Parental
344,4/3/2024,Vacation,Approved,Vacation
372,4/10/2024,Parental,Approved,Parental
398,4/5/2024,Personal,Approved,Personal
443,4/20/2024,Sick,Approved,Sick
462,4/25/2024,Personal,Approved,Personal
473,4/30/2024,Sick,Pending,None
476,4/15/2024,Personal,Approved,Personal
501,4/15/2024,Personal,Approved,Personal
502,4/3/2024,Sick,Approved,Sick
521,4/15/2024,Sick,Approved,Sick
527,4/10/2024,Vacation,Approved,Vacation
528,4/12/2024,Vacation,Approved,Vacation
546,4/11/2024,Personal,Approved,Personal
574,4/6/2024,Vacation,Approved,Vacation
582,4/4/2024,Vacation,Approved,Vacation
11,5/17/2024,Personal,Approved,Personal
37,5/27/2024,Vacation,Approved,Vacation
59,5/24/2024,Sick,Approved,Sick
98,5/25/2024,Personal,Pending,None
112,5/9/2024,Sick,Approved,Sick
116,5/12/2024,Sick,Approved,Sick
127,5/8/2024,Parental,Approved,Parental
253,5/21/2024,Vacation,Approved,Vacation
339,5/11/2024,Vacation,Approved,Vacation
347,5/25/2024,Vacation,Approved,Vacation
377,5/28/2024,Personal,Approved,Personal
410,5/23/2024,Personal,Approved,Personal
413,5/22/2024,Parental,Approved,Parental
458,5/22/2024,Personal,Approved,Personal
468,5/29/2024,Vacation,Approved,Vacation
478,5/4/2024,Personal,Approved,Personal
490,5/21/2024,Vacation,Approved,Vacation
516,5/11/2024,Sick,Approved,Sick
518,5/30/2024,Personal,Approved,Personal
535,5/30/2024,Vacation,Approved,Vacation
581,5/25/2024,Vacation,Approved,Vacation
611,5/17/2024,Sick,Approved,Sick
617,5/25/2024,Sick,Approved,Sick
620,5/24/2024,Parental,Approved,Parental
625,5/23/2024,Parental,Approved,Parental
626,5/25/2024,Sick,Approved,Sick
36,6/22/2024,Parental,Approved,Parental
151,6/28/2024,Sick,Approved,Sick
175,6/28/2024,Sick,Approved,Sick
177,6/10/2024,Personal,Approved,Personal
213,6/21/2024,Parental,Approved,Parental
285,6/12/2024,Personal,Approved,Personal
317,6/18/2024,Vacation,Approved,Vacation
318,6/26/2024,Sick,Denied,None
326,6/23/2024,Sick,Approved,Sick
329,6/22/2024,Personal,Approved,Personal
